Kind,Name,CountLineCode,MaxCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountDeclInstanceMethod,MaxInheritanceTree,CountDeclMethod,CountDeclInstanceVariable,PercentLackOfCohesion
File,"C.java",20,1,,,,,2,,3,0,
File,"C.java",18,1,,,,,5,,5,0,
File,"CRUDTest.java",8,0,,,,,2,,2,0,
File,"CRUDTest2.java",9,1,,,,,2,,2,0,
File,"Captor.java",23,2,,,,,2,,4,1,
File,"CheckCount.java",28,2,,,,,2,,2,0,
File,"Child.java",12,1,,,,,2,,2,0,
File,"Child1.java",12,1,,,,,2,,2,0,
File,"Child1Test.java",19,2,,,,,3,,4,0,
File,"Child2.java",8,1,,,,,1,,1,0,
File,"Child2Test.java",19,2,,,,,3,,4,0,
File,"ChildSampleTest3.java",13,1,,,,,2,,2,0,
File,"ChildTest.java",21,1,,,,,4,,4,0,
File,"Child_1.java",20,2,,,,,2,,3,0,
File,"ChuckTest3.java",13,1,,,,,1,,3,0,
File,"ChuckTest4.java",13,1,,,,,1,,3,0,
File,"ClassA.java",46,1,,,,,10,,10,0,
File,"ClassB.java",34,1,,,,,7,,7,0,
File,"ClassConfigurations.java",36,1,,,,,6,,6,0,
File,"ClassDependsOnGroups.java",19,1,,,,,1,,1,0,
File,"ClassHelper.java",380,11,,,,,1,,18,0,
File,"ClassImpl.java",171,8,,,,,14,,15,13,
File,"ClassInfoMap.java",40,4,,,,,7,,7,1,
File,"ClassMethodMap.java",49,4,,,,,6,,6,3,
File,"ClassObjectFactory.java",16,2,,,,,1,,1,0,
File,"ClassObjectFactorySampleTest.java",13,1,,,,,2,,2,0,
File,"ClassSampleTest.java",17,1,,,,,3,,3,0,
File,"ClassScopeTest.java",13,1,,,,,2,,2,1,
File,"ClassTest.java",17,1,,,,,1,,1,0,
File,"ClassWide1Test.java",17,1,,,,,2,,3,0,
File,"ClassWide2Test.java",9,1,,,,,1,,1,0,
File,"ClassWithFailedBeforeClassMethod.java",16,1,,,,,3,,3,0,
File,"ClassWithFailedBeforeMethod.java",12,1,,,,,2,,2,0,
File,"ClassWithFailedBeforeMethodAndMultipleTests.java",15,1,,,,,3,,3,0,
File,"ClassWithFailedBeforeSuite.java",8,1,,,,,1,,1,0,
File,"ClassWithFailedBeforeSuiteVerification.java",18,1,,,,,2,,3,0,
File,"ClassWithFailedBeforeTestClass.java",12,1,,,,,2,,2,0,
File,"ClassWithFailedBeforeTestClassVerification.java",22,1,,,,,3,,4,0,
File,"ClassWithSkippingBeforeMethod.java",18,2,,,,,3,,3,1,
File,"ClonedMethod.java",282,4,,,,,63,,63,7,
File,"CombinedTestAndObjectFactorySample.java",31,3,,,,,3,,3,1,
File,"CombinedTestAndObjectFactoryTest.java",20,1,,,,,1,,2,0,
File,"CommandLineArgs.java",111,0,,,,,0,,0,30,
File,"CommandLineTest.java",105,2,,,,,6,,7,0,
File,"CommandLineTest.java",163,3,,,,,10,,11,4,
File,"ComparisonCriteria.java",47,7,,,,,4,,4,0,
File,"ConcreteTest.java",16,1,,,,,2,,3,0,
File,"Config.java",8,1,,,,,1,,1,0,
File,"ConfigurableFailureTest.java",17,1,,,,,2,,2,0,
File,"ConfigurableListener.java",18,2,,,,,1,,1,0,
File,"ConfigurableSuccessTest.java",20,2,,,,,2,,2,0,
File,"ConfigurableSuccessWithListenerTest.java",37,1,,,,,5,,5,0,
File,"Configuration.java",26,0,,,,,18,,18,0,
File,"Configuration.java",50,1,,,,,10,,10,4,
File,"ConfigurationAndDataProvidersTest.java",50,2,,,,,6,,7,4,
File,"ConfigurationAnnotation.java",133,1,,,,,33,,33,16,
File,"ConfigurationFailure.java",38,1,,,,,2,,3,0,
File,"ConfigurationGroupBothSampleTest.java",38,2,,,,,5,,6,0,
File,"ConfigurationGroupDataProviderSampleTest.java",34,2,,,,,5,,5,0,
File,"ConfigurationGroupInvocationCountSampleTest.java",29,2,,,,,4,,4,0,
File,"ConfigurationGroupMethods.java",90,4,,,,,11,,11,4,
File,"ConfigurationGroups1SampleTest.java",42,2,,,,,6,,6,3,
File,"ConfigurationGroups2SampleTest.java",51,2,,,,,7,,7,4,
File,"ConfigurationGroups3SampleTest.java",47,2,,,,,6,,7,2,
File,"ConfigurationGroups4SampleTest.java",39,2,,,,,6,,6,2,
File,"ConfigurationGroups5SampleTest.java",56,2,,,,,7,,7,4,
File,"ConfigurationGroups6SampleTest.java",48,2,,,,,7,,7,3,
File,"ConfigurationGroups7SampleTest.java",31,1,,,,,5,,5,1,
File,"ConfigurationGroups8SampleTest.java",35,1,,,,,6,,6,1,
File,"ConfigurationInheritGroupsSampleTest.java",18,1,,,,,3,,3,1,
File,"ConfigurationMethod.java",352,19,,,,,17,,24,9,
File,"ConfigurationMixin.java",23,1,,,,,4,,4,0,
File,"ConfigurationSampleTest.java",24,1,,,,,4,,5,0,
File,"ConfigurationSkippedExceptionTest.java",13,1,,,,,2,,2,0,
File,"ConfigurationTest.java",98,2,,,,,7,,8,6,
File,"ConfigurationTransformer.java",29,2,,,,,4,,4,0,
File,"ConfigurationWithParameters.java",18,1,,,,,2,,2,1,
File,"ConnectionInfo.java",28,2,,,,,4,,4,3,
File,"Constants.java",56,4,,,,,0,,6,0,
File,"ConstructorOrMethod.java",57,10,,,,,9,,9,2,
File,"ContainerTest.java",14,1,,,,,2,,2,0,
File,"ContextAwareFactoryFactory.java",13,1,,,,,1,,1,0,
File,"ConversionUtils.java",29,6,,,,,0,,1,0,
