Kind,Name,CountLineCode,MaxCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountDeclInstanceMethod,MaxInheritanceTree,CountDeclMethod,CountDeclInstanceVariable,PercentLackOfCohesion
File,"BaseTest.java",25,1,,,,,5,,7,0,
File,"BaseTestCLass.java",4,0,,,,,0,,0,0,
File,"BaseTestCase.java",35,1,,,,,11,,11,0,
File,"BaseTestClass.java",12,1,,,,,2,,2,0,
File,"BaseTestClassExample.java",36,2,,,,,5,,5,1,
File,"BaseTestMethod.java",604,10,,,,,96,,99,35,
File,"BaseThreadTest.java",69,2,,,,,6,,10,0,
File,"BaseWithListener.java",9,1,,,,,0,,1,0,
File,"Basic1.java",20,1,,,,,2,,4,0,
File,"Basic2.java",25,1,,,,,3,,3,1,
File,"BasicAttributes.java",16,1,,,,,3,,3,2,
File,"Batman.java",9,1,,,,,3,,3,0,
File,"BeforeClass.java",17,0,,,,,8,,8,0,
File,"BeforeClassJUnit4Sample.java",17,1,,,,,1,,3,0,
File,"BeforeClassSkipExceptionTest.java",94,4,,,,,8,,10,0,
File,"BeforeClassTest.java",45,2,,,,,3,,3,0,
File,"BeforeClassThreadA.java",13,1,,,,,2,,2,0,
File,"BeforeClassThreadB.java",13,1,,,,,2,,2,0,
File,"BeforeGroupTest.java",11,1,,,,,1,,1,0,
File,"BeforeGroups.java",18,0,,,,,9,,9,0,
File,"BeforeGroupsTest.java",140,4,,,,,5,,9,0,
File,"BeforeListenerSample.java",44,6,,,,,6,,6,0,
File,"BeforeListenerSkipSample.java",21,1,,,,,3,,3,0,
File,"BeforeMethod.java",19,0,,,,,10,,10,0,
File,"BeforeMethodTest.java",23,1,,,,,2,,2,2,
File,"BeforeMethodWithGroupFiltersSampleTest.java",31,1,,,,,7,,7,0,
File,"BeforeMethodWithGroupFiltersTest.java",13,1,,,,,1,,1,0,
File,"BeforeSuite.java",17,0,,,,,8,,8,0,
File,"BeforeTest.java",17,0,,,,,8,,8,0,
File,"BeforeTestFailingTest.java",18,1,,,,,1,,1,0,
File,"BeforeTestOrdering1Test.java",18,1,,,,,3,,3,0,
File,"BeforeTestOrdering2Test.java",18,1,,,,,3,,3,0,
File,"BeforeTestOrderingTest.java",45,1,,,,,2,,3,0,
File,"BeforeWithParameterSample.java",22,1,,,,,0,,3,0,
File,"BlankNameSample.java",14,1,,,,,2,,2,0,
File,"BooleanDataProviderSample.java",11,1,,,,,2,,2,0,
File,"Buffer.java",6,1,,,,,0,,1,0,
